Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
53=	Youngwoo Park	ESL	I&#x27;m sick of judging so decided to d	79	78	77	79	75	388	77.60	1.50
53=	Ibrahim Ejaz	Novice	Trophy Wives	79	76	78	76	79	388	77.60	1.36
53=	Djordje Mirkovic	ESL	Integrated rebbutal	78	77	78	77	78	388	77.60	0.49
56=	Zainab Sardar		Edinburgh Na(B) and Nav	79	76	78	79	75	387	77.40	1.62
56=	Ong Sue Pei	ESL, Novice	Sunway did someone say im cute	76	78	78	79	76	387	77.40	1.20
56=	Haeseong Pyun	ESL	I&#x27;m sick of judging so decided to d	78	78	77	79	75	387	77.40	1.36
56=	Zach Godley-McAvoy		What Happened to St Andrews’s Money	78	77	78	77	77	387	77.40	0.49
56=	Guy Williams		Almaty 2023	78	78	80	75	76	387	77.40	1.74
56=	Altynay Zamanbekova	ESL	NU S	77	77	76	79	78	387	77.40	1.02
56=	Arnav Agrawal	ESL, Novice	UFD India	77	73	78	82	77	387	77.40	2.87
63=	Himan Nayak	ESL	DTU A(Amar naam Tomar Naam Badnaam)	77	76	77	80	76	386	77.20	1.47
63=	Vansh Chadha	ESL	DTU A(Amar naam Tomar Naam Badnaam)	78	77	76	80	75	386	77.20	1.72
63=	Miloš Prokić	ESL	Integrated rebbutal	78	77	78	76	77	386	77.20	0.75
66=	Tom Francis		TCD Hist Tom &amp; Molly	77	75	77	80	76	385	77.00	1.67
66=	Freddy Simonnet-Lefevre		so many barrels in these surnames, 	75	78	78	78	76	385	77.00	1.26
66=	William Logue	Novice	Williams College A	79	79	76	73	78	385	77.00	2.28
66=	Xavier Konynenburg		Almaty 2023	77	77	79	75	77	385	77.00	1.26
70=	Nora Flynn-McIver		so many barrels in these surnames, 	74	77	79	77	77	384	76.80	1.60
70=	Panagis Gouvelis	ESL	ATHENS A	76	76	77	77	78	384	76.80	0.75
70=	Strahinja Batanjski	ESL	Jebiga, nema inspiracije	78	74	79	78	75	384	76.80	1.94
70=	Dragos Sassu	ESL	Bucharest B	78	76	75	79	76	384	76.80	1.47
70=	Adam Mallis		I don&#x27;t mean anything, bro, I just	78	76	76	77	77	384	76.80	0.75
75=	George Fragkiadakis	ESL	ATHENS A	77	76	76	77	77	383	76.60	0.49
75=	Callum Duffy		I don&#x27;t mean anything, bro, I just	77	76	77	77	76	383	76.60	0.49
77=	Thomas Calcagno	ESL	Sponsor us, merci	75	77	77	75	78	382	76.40	1.20
77=	Lim Eu Xuan	ESL, Novice	Sunway did someone say im cute	76	77	78	76	75	382	76.40	1.02
77=	Theo Simion	ESL	Bucharest B	77	77	74	79	75	382	76.40	1.74
80=	Or Rubin	ESL, Novice	Sponsor us, merci	74	77	77	75	78	381	76.20	1.47
80=	Alyssa Mills		GUU Bubble Boy	76	77	77	76	75	381	76.20	0.75
80=	Cheng Zu	ESL	Ukelele Apologists	78	74	75	74	80	381	76.20	2.40
83	Ignas Sarva	ESL	Trophy Wives	76	75	77	74	78	380	76.00	1.41
84=	Isaac Gilbert		GUU Bubble Boy	76	77	76	75	75	379	75.80	0.75
84=	Raymond Kimura	ESL	Ukelele Apologists	78	73	74	73	81	379	75.80	3.19
86=	Ruslan Rakhmani	ESL, Novice	Present Simple	79	73	76	76	74	378	75.60	2.06
86=	Aleksandra Durbazeva		eating brie in front of an open fri	74	75	77	75	77	378	75.60	1.20
88=	Anton Gonta	ESL, Novice	eating brie in front of an open fri	74	76	78	73	76	377	75.40	1.74
88=	Michal Hartstein	ESL	Weizmann N&amp;M	74	77	74	76	76	377	75.40	1.20
88=	Diana Jiang	ESL, Novice	Queen card	76	75	78	73	75	377	75.40	1.62
88=	Navve wasserman	ESL	Weizmann N&amp;M	75	76	74	76	76	377	75.40	0.80
88=	Akkshansh Bagga	ESL, Novice	Williams College A	77	76	75	73	76	377	75.40	1.36
