Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
112	Speaker 1		Swing π	—	70	—	81	—	151	75.50	5.50
113	Speaker 2		Swing A	—	—	76	51	—	127	63.50	12.50
114	Speaker 1		Swing 2	—	66	—	50	—	116	58.00	8.00
115	Aryaman Sarda	Novice	Boris and Aru	76	—	—	—	—	76	76.00	0.00
116=	Boris Daley		Boris and Aru	75	—	—	—	—	75	75.00	0.00
116=	Roman Matiushko		I promise to be fresh	75	—	—	—	—	75	75.00	0.00
118	Karina Kuznietsova		I promise to be fresh	74	—	—	—	—	74	74.00	0.00
119	Raymond Nyasha Moyo	Novice, ESL	RPDA Babies	—	71	—	—	—	71	71.00	0.00
120	Mike Risenberg	Novice	Phenomenological Snake	63	—	—	—	—	63	63.00	0.00
121	Nikolay Tsutsarin	Novice	Phenomenological Snake	59	—	—	—	—	59	59.00	0.00
122=	Speaker 1		Swing d	—	50	—	—	—	50	50.00	0.00
122=	Speaker 2		Swing 2	—	—	—	50	—	50	50.00	0.00
124=	Dorcas Makanganise	Novice, ESL	RPDA Babies	—	—	—	—	—	—	—	—
124=	Speaker 2		Swing π	—	—	—	—	—	—	—	—
124=	Samiul Haq		Born to Lose	—	—	—	—	—	—	—	—
124=	Bevin Armstrong		UCD LawSoc A is missing some weighing? Yeah m	—	—	—	—	—	—	—	—
124=	Hasnat		Born to Lose	—	—	—	—	—	—	—	—
124=	Speaker 2		Swing d	—	—	—	—	—	—	—	—
124=	Fiachra Nolan		UCD LawSoc A is missing some weighing? Yeah m	—	—	—	—	—	—	—	—
